#Object#	Area	Perimeter
1	215	52.63
2	1	0.00
3	281	61.28
4	3	3.41
5	858	112.67
6	555	86.18
7	543	85.60
8	472	88.77
9	613	92.74
10	170	46.63
11	578	87.94
12	652	92.94
13	379	70.53
14	902	130.57
15	377	70.87
16	415	75.53
17	244	56.46
18	413	74.28
19	167	45.97
20	239	55.04
21	610	111.25
22	641	106.25
23	593	88.18
24	545	86.43
25	195	50.04
26	361	68.70
27	14	10.83
28	676	102.84
29	289	61.46
30	412	74.11
31	260	58.28
32	426	86.01
33	425	76.77
34	271	61.11
35	159	45.21
36	401	85.43
37	520	83.18
38	448	77.36
39	660	96.84
40	228	53.83
41	99	34.14
42	501	81.18
43	278	62.25
44	231	54.21
45	81	30.69
46	285	61.11
